stationid,lat,lon
939324,59.897305556,30.389386111
939323,59.927063889,30.328327778
939322,59.923888889,30.34375
939321,59.920972222,30.347361111
939319,59.943108333,30.347719444
939318,59.946472222,30.278722222
939317,59.900555556,30.362777778
939316,59.924722222,30.290277778
939258,59.923583333,30.328611111
939257,59.918194444,30.341666667
939256,59.933333333,30.327777778
939255,59.922777778,30.350277778
939254,59.927377778,30.346361111
939253,59.928333333,30.354027778
939230,59.935719444,30.347555556
939229,59.936944444,30.263305556
939219,59.948861111,30.278136111
939190,59.972941667,30.270527778
939186,59.92925,30.381916667
939183,59.933861111,30.309138889
939154,59.926194444,30.287108333
939149,59.913888889,30.323888889
939148,59.955555556,30.214166667
939144,59.924555556,30.310219444
939142,59.974080556,30.254444444
939097,59.924944444,30.386052778
939095,59.956083333,30.373305556
939085,59.963861111,30.342361111
889299,59.94346,30.32506
889010,59.93175,30.320527778
889009,59.929555556,30.373972222
889008,59.942833333,30.286305556
888046,59.944444444,30.343944444
888045,59.920584,30.293936
888044,59.927611111,30.312277778
888043,59.95611,30.30417
870797,59.916580556,30.287
870793,59.896472222,30.318333333
870760,59.907777778,30.306944444
870738,59.933333333,30.2725
870734,59.914305556,30.295805556
870677,59.914694444,30.401052778
870676,59.905972222,30.245555556
870674,59.900469444,30.246166667
870654,59.942136111,30.340888889
870617,59.899,30.273166667
870614,59.903694444,30.219833333
870611,59.909608333,30.282663889
870610,59.941888889,30.362472222
870514,59.901055556,30.321861111
870512,59.933583333,30.295358333
855988,59.925277778,30.410130556
855987,59.942997222,30.279183333
855984,59.942919444,30.346886111
855977,59.932777778,30.349166667
855976,59.926786111,30.332761111
855965,59.95035,30.234277778
855964,59.946452778,30.2207
855962,59.936202778,30.374625
855954,59.931302778,30.339436111
855947,59.963969444,30.322005556
855946,59.924808333,30.349905556
855945,59.944980556,30.413066667
855917,59.9105,30.389944444
855891,59.948017,30.35829
855886,59.967409,30.383021
855885,59.960101,30.37318
855882,59.907583333,30.318194444
855838,59.911388889,30.308944444
855830,59.896638889,30.382666667
855827,59.915194444,30.317555556
855823,59.955849,30.354864
855822,59.974436111,30.308252778
855797,59.896126,30.373939
855793,59.890419,30.301552
855792,59.93786,30.38793
855770,59.948925,30.408513889
855754,59.89227,30.26466
855601,59.960277778,30.336277778
855122,59.920668,30.255133
855019,59.943426,30.235693
855017,59.95297,30.28605
829686,59.96125,30.278472222
829685,59.972386111,30.342858333
829684,59.965191667,30.395527778
829654,59.929608333,30.377997222
829645,59.921719444,30.288722222
829630,59.923583333,30.283969444
829624,59.946194444,30.347997222
829621,59.905,30.336052778
829620,59.940138889,30.347302778
829619,59.945916667,30.338527778
829618,59.938333333,30.27
829617,59.959444444,30.350277778
829615,59.933166667,30.402194444
829596,59.926888889,30.389861111
829590,59.90675,30.302916667
829588,59.953525,30.262138889
829587,59.945777778,30.268055556
829586,59.926388889,30.285372222
829582,59.935777778,30.318388889
829580,59.915583333,30.337861111
829562,59.926777778,30.332777778
829561,59.949722222,30.351388889
829553,59.929305556,30.366666667
829547,59.974,30.295055556
829545,59.939722222,30.358888889
829544,59.924722222,30.290277778
829543,59.914861111,30.314305556
829542,59.964380556,30.327625
829541,59.958333333,30.300277778
829540,59.951805556,30.284361111
829539,59.901388889,30.272222222
829523,59.9435,30.373416667
829488,59.911388889,30.306388889
829487,59.9055,30.287836111
829469,59.932777778,30.349166667
829468,59.940972222,30.297361111
829466,59.957386111,30.342386111
829458,59.964111111,30.354722222
829457,59.967361111,30.29875
829442,59.900138889,30.402663889
829438,59.957777778,30.226527778
829406,59.9075,30.388027778
829399,59.972638889,30.302638889
829398,59.930505556,30.378130556
829336,59.922275,30.33
829332,59.943611111,30.355277778
829331,59.946805556,30.342361111
829330,59.923263889,30.282777778
829329,59.912222222,30.321666667
829326,59.942616667,30.339936111
829319,59.92525,30.293027778
829317,59.943611111,30.325555556
829316,59.961666667,30.312083333
829286,59.964872222,30.3405
829285,59.924861111,30.386111111
829264,59.928305556,30.320941667
829259,59.955163889,30.36325
829256,59.948333333,30.219722222
829255,59.95865,30.404958333
829251,59.945527778,30.329341667
829250,59.941580556,30.351694444
829249,59.92375,30.350555556
829248,59.92275,30.373844444
829247,59.927627778,30.347155556
829246,59.942194444,30.3416
829245,59.934713889,30.385308333
829244,59.934683333,30.370180556
829243,59.947980556,30.389208333
829242,59.949722222,30.367638889
829241,59.926286111,30.401616667
829240,59.929672222,30.354691667
829239,59.927647222,30.3044
829238,59.922083333,30.320916667
829237,59.953194444,30.222638889
829232,59.907222222,30.321388889
829229,59.926222222,30.403805556
819991,59.94806,30.23672
819987,59.94249,30.22266
819986,59.935222,30.329476
819979,59.929435,30.357954
819976,59.945467,30.28997
819868,59.95297,30.28605
819862,59.90447,30.323369
819816,59.9118128,30.2883633
819792,59.938583333,30.363222222
819659,59.91648,30.39912
819657,59.900288,30.362867
819652,59.95727,30.30499
819649,59.94095,30.35392
819646,59.9579722,30.273889
819645,59.931286,30.363163
819493,59.962222222,30.326711111
819485,59.896638889,30.382666667
819462,59.9364909,30.3546769
819437,59.962897222,30.286730556
819436,59.946661111,30.309888889
819428,59.92325,30.346222222
819426,59.913027778,30.262222222
819410,59.9333666,30.3350333
819303,59.930702778,30.384336111
819281,59.953055556,30.361666667
819264,59.947394444,30.278858333
819262,59.932813,30.271391
819261,59.942136111,30.340888889
819244,59.903455556,30.219672222
819242,59.949833333,30.383363889
819241,59.939802778,30.344236111
819071,59.929083333,30.360277778
819070,59.9665694,30.3086888
819069,59.893055556,30.336944444
819067,59.937166667,30.362027778
818949,59.974138889,30.254305556
818876,59.930388,30.26857
817688,59.946488889,30.373
817677,59.943877778,30.270233333
817672,59.934302778,30.309833333
817338,59.970433,30.298517
817335,59.932625,30.270972222
817309,59.903064,30.337521
817288,59.9175,30.349472222
817240,59.935722222,30.381361111
817235,59.968416667,30.263027778
817234,59.968416667,30.263027778
817219,59.909377778,30.255730556
817215,59.929138889,30.345027778
817207,59.938888889,30.379111111
817111,59.966527778,30.313416667
817099,59.973194444,30.276777778
817098,59.927416667,30.385055556
817094,59.957,30.310361111
817089,59.947722222,30.338194444
817077,59.950352778,30.298680556
817076,59.96965,30.342677778
817075,59.950083333,30.301111111
817074,59.938777778,30.368027778
817072,59.903055556,30.3045
817069,59.945881,30.338598
817066,59.923955556,30.317227778
817063,59.938411111,30.268011111
817059,59.944,30.287083333
817057,59.967777778,30.305166667
817056,59.914777778,30.317166667
797987,59.951519444,30.302708333
797986,59.956025,30.298472222
797985,59.965833333,30.2925
797984,59.954836111,30.3245
797983,59.966472222,30.311666667
797982,59.928694444,30.379694444
797981,59.935138889,30.363194444
797980,59.957333333,30.223305556
797979,59.940555556,30.268427778
797959,59.941163889,30.405163889
797958,59.944805556,30.267302778
797957,59.934313889,30.359144444
797955,59.948333333,30.313611111
797954,59.943308333,30.232180556
797952,59.957222222,30.279444444
797951,59.959497222,30.289833333
797950,59.9625,30.316666667
797948,59.908527778,30.297136111
797947,59.914166667,30.328194444
797938,59.931388889,30.349722222
797936,59.942305556,30.274722222
797935,59.934166667,30.242222222
797934,59.959166667,30.232302778
797932,59.952777778,30.232777778
797906,59.911527778,30.249722222
797905,59.904305556,30.249638889
797880,59.893277778,30.330138889
797874,59.892413889,30.356944444
797871,59.911025,30.340472222
797870,59.931552778,30.350719444
797843,59.893333333,30.317777778
797811,59.893861111,30.319972222
797809,59.911638889,30.252386111
797808,59.934722222,30.335055556
797807,59.926111111,30.341638889
797806,59.911172222,30.3545
797804,59.914694444,30.399972222
797803,59.938775,30.376305556
777829,59.924388889,30.347861111
777828,59.94212,30.27917
777827,59.9059116,30.2701312
777826,59.953502778,30.263283333
777824,59.94629,30.35618
777630,59.967298,30.274677
777627,59.91867,30.28488
777626,59.935852,30.325676
777303,59.937972222,30.326472222
777287,59.9536,30.2632
777286,59.906883333,30.261569444
777271,59.961591667,30.369722222
777262,59.935597,30.363368
777260,59.93835,30.26776
777259,59.93626,30.342
777235,59.97063,30.37666
777210,59.923441667,30.297416667
777032,59.945588889,30.290155556
777029,59.912372222,30.332566667
777023,59.97184,30.32424
777022,59.94013,30.360749
777021,59.925844,30.298272
663943,59.911302778,30.329583333
663931,59.969805556,30.243722222
663924,59.944694444,30.360611111
663920,59.926805556,30.389861111
663917,59.972386111,30.342858333
663914,59.926083333,30.310775
641387,59.928333333,30.3125
641386,59.918833333,30.327163889
641385,59.934983333,30.274
641312,59.941666667,30.396944444
641279,59.965138889,30.33
641278,59.931805556,30.367638889
641268,59.893333333,30.317777778
641265,59.936583333,30.341944444
641264,59.971944444,30.369444444
641242,59.966472222,30.311666667
641241,59.931388889,30.283888889
641218,59.945863889,30.215611111
641217,59.972638889,30.302777778
641215,59.924722222,30.310555556
641162,59.92525,30.360277778
641161,59.928219444,30.314972222
641160,59.960416667,30.303027778
641154,59.944555556,30.343111111
641153,59.926163889,30.279861111
641152,59.905138889,30.289941667
641151,59.946580556,30.288275
641148,59.918888889,30.325
641116,59.891025,30.311666667
641112,59.903333333,30.22
603989,59.969913889,30.413027778
603988,59.943775,30.255888889
603987,59.9075,30.300944444
603985,59.971777778,30.353472222
603983,59.95625,30.245666667
603979,59.920277778,30.357777778
603971,59.923138889,30.412
603898,59.96,30.272916667
603895,59.957805556,30.290530556
603893,59.935833333,30.2825
603891,59.91375,30.375972222
603890,59.902058333,30.337627778
603876,59.924944444,30.386052778
603874,59.962897222,30.286730556
603847,59.938055556,30.372222222
603846,59.961666667,30.312083333
603838,59.964972222,30.309108333
603834,59.924527778,30.354694444
603832,59.972777778,30.304916667
603831,59.914722222,30.310277778
603828,59.894166667,30.28
603827,59.971986111,30.386430556
603816,59.935277778,30.275277778
603804,59.947591667,30.352402778
603800,59.969722222,30.413472222
603746,59.925527778,30.349027778
603745,59.93625,30.321805556
603712,59.969166667,30.313611111
603709,59.941741667,30.284036111
603696,59.965833333,30.2925
603695,59.955702778,30.297713889
603694,59.955833333,30.313333333
603693,59.942222222,30.274583333
603692,59.9488,30.270977778
603691,59.952222222,30.231744444
603690,59.938775,30.214941667
603689,59.914708333,30.282102778
603685,59.946444444,30.382280556
603684,59.938558333,30.388275
603683,59.922136111,30.37375
603682,59.943194444,30.349027778
603681,59.935052778,30.351944444
603680,59.931425,30.339022222
603679,59.924805556,30.357972222
603678,59.914722222,30.314305556
603677,59.932375,30.314397222
603676,59.930919444,30.30235
603627,59.905430556,30.270833333
603608,59.921111111,30.344722222
603602,59.900244444,30.400405556
590436,59.945608333,30.329138889
590432,59.942136111,30.340888889
590431,59.93875,30.310219444
590430,59.955305556,30.336516667
590428,59.935833333,30.373333333
590427,59.936444444,30.275916667
590411,59.931916667,30.29875
590410,59.9175,30.318888889
590409,59.935833333,30.393333333
590336,59.902108333,30.325888889
590332,59.948611111,30.271666667
590331,59.939288889,30.239305556
590322,59.930638889,30.258552778
590321,59.91375,30.375972222
590315,59.902058333,30.337641667
590313,59.914722222,30.282222222
590312,59.927222222,30.3575
590311,59.949722222,30.379166667
590148,59.943833333,30.270194444
589674,59.909166667,30.318888889
589673,59.935,30.345277778
589653,59.940163889,30.347302778
589650,59.890833333,30.322694444
589646,59.9555,30.356583333
589642,59.944305556,30.363472222
589641,59.936658333,30.324972222
589640,59.929888889,30.337766667
589628,59.928194444,30.332222222
589627,59.909602778,30.280447222
589619,59.911552778,30.267025
589618,59.948638889,30.245277778
589605,59.952569444,30.244555556
589602,59.937969444,30.231083333
589601,59.938861111,30.366083333
589599,59.908180556,30.233102778
589587,59.957638889,30.341830556
589586,59.937480556,30.241466667
589584,59.967086111,30.315630556
589583,59.925544444,30.322347222
589582,59.929138889,30.325219444
589581,59.932861111,30.320672222
589580,59.940138889,30.326111111
589574,59.893252778,30.331763889
589562,59.935052778,30.301861111
589561,59.932472222,30.293552778
589555,59.919722222,30.290833333
589554,59.925,30.29
589553,59.966083333,30.378552778
589551,59.934080556,30.266027778
589548,59.914694444,30.399972222
589544,59.959886111,30.269138889
589492,59.902430556,30.354277778
589491,59.898994444,30.290416667
589489,59.907855556,30.403305556
589488,59.971527778,30.287302778
589481,59.918861111,30.325080556
589478,59.953,30.297194444
589477,59.934138889,30.245805556
589452,59.896333333,30.373611111
589451,59.917480556,30.347927778
589441,59.935719444,30.382194444
589439,59.960277778,30.300277778
589436,59.955636111,30.313472222
589435,59.912136111,30.274027778
589430,59.960052778,30.30025
589423,59.934219444,30.385833333
589422,59.914305556,30.295805556
437735,59.934105,30.249195
324349,59.937361111,30.284638889
324348,59.946944444,30.363333333
324347,59.920611111,30.354536111
324345,59.937413889,30.282386111
324341,59.968547222,30.316291667
324340,59.926805556,30.300138889
324337,59.948416667,30.384138889
2193999,59.9005961,30.2715292
2193990,59.963305556,30.354972222
2193967,59.921472,30.318815
2193966,59.968025,30.260509
2193960,59.956322,30.244317
2193959,59.922833,30.285622
2193957,59.94348,30.324187
2193956,59.939699,30.28016
2193955,59.953759,30.330403
2193953,59.962751,30.287706
2193948,59.922583333,30.286555556
2193904,59.965367,30.286691
2193872,59.959089,30.275033
2193871,59.973748,30.326504
2193868,59.911279,30.257419
2193865,59.971872,30.383007
2193863,59.955539,30.361844
2193860,59.925528,30.346778
2193854,59.941146,30.256274
2193840,59.923915,30.349106
2193839,59.924039,30.388787
2193835,59.945472,30.328028
2193828,59.911258,30.288965
2193808,59.949638889,30.266777778
2193807,59.912,30.208361111
2193805,59.945666667,30.279527778
2193804,59.938805556,30.214527778
2193715,59.94791,30.27237
2193714,59.927319,30.347129
2193713,59.937301,30.282415
2193708,59.972447,30.313973
2193694,59.960287,30.334302
2193693,59.949177,30.303022
2193683,59.935088,30.2996
2193680,59.960722222,30.375916667
2193679,59.931305556,30.232027778
2193660,59.941146,30.286978
2193659,59.914615,30.349142
2193656,59.9024868,30.3052295
2193654,59.952129,30.23422
2193637,59.973,30.317416667
2193635,59.935444444,30.300833333
2193631,59.933888889,30.401694444
2193627,59.919861111,30.370027778
2193625,59.946583333,30.364361111
2193616,59.933361111,30.334611111
2193610,59.945194444,30.252916667
2193608,59.974722222,30.411361111
2193578,59.926472222,30.348333333
2193563,59.938472222,30.267694444
2193561,59.931,30.286611111
2193530,59.891969,30.257047
2193524,59.89251,30.264499
2193476,59.892138889,30.331777778
2193463,59.968722222,30.266888889
2193462,59.945583333,30.258194444
2193459,59.908333333,30.291361111
2193458,59.969611111,30.342
2193457,59.906138889,30.312388889
2193413,59.922555556,30.343305556
2193399,59.928194444,30.307666667
2193397,59.965638889,30.265805556
2193394,59.952333333,30.231472222
2193362,59.948694444,30.279305556
2193350,59.948472222,30.38425
2193346,59.924888889,30.387194444
2193343,59.965222222,30.315611111
2193341,59.965222222,30.315611111
2193335,59.934722222,30.370222222
2193308,59.966039,30.343312
2193306,59.911056,30.340167
2193305,59.891101,30.38794
2193301,59.892383,30.35993
2193300,59.925944,30.380861
2193299,59.894048,30.362421
2193297,59.896012,30.357505
2193293,59.946267,30.271143
2193289,59.912861,30.350278
2193277,59.962333,30.2955
2193274,59.896337,30.367377
2193273,59.962333,30.2955
2193271,59.968067,30.390547
2193268,59.922833,30.285622
2193258,59.959028,30.268417
2193252,59.911279,30.257419
2193206,59.949027778,30.302972222
2193185,59.950138889,30.298722222
2193184,59.957805556,30.300194444
2193183,59.943472222,30.293138889
2193182,59.945611111,30.289361111
2193181,59.95425,30.251277778
2193180,59.959055556,30.313277778
2193179,59.97,30.297027778
2193159,59.946277778,30.348222222
2193148,59.919805556,30.291222222
2193144,59.949,30.372722222
2193143,59.932833333,30.303472222
2193114,59.97267,30.216468
2193113,59.931621,30.368132
2193112,59.941159,30.256278
2193110,59.914389,30.295278
2191928,59.941,30.290666667
2191927,59.912138889,30.321638889
2191926,59.931305556,30.283722222
2191909,59.914083333,30.328027778
2191901,59.938138889,30.231138889
2191879,59.926305556,30.376638889
2191878,59.929638889,30.307888889
2191877,59.909666667,30.280666667
2191876,59.9145,30.282333333
2191854,59.930472222,30.348166667
2191853,59.946666667,30.352472222
2191852,59.930333333,30.345527778
2191851,59.934777778,30.379138889
2191850,59.946583333,30.363166667
2191849,59.948666667,30.342611111
2191848,59.947194444,30.273444444
2191846,59.958111111,30.300111111
2191845,59.966305556,30.311361111
2191844,59.917388889,30.285888889
2191843,59.93575,30.325111111
2191842,59.941305556,30.351638889
2191841,59.938527778,30.366777778
2191840,59.94575,30.366916667
2191839,59.926111111,30.3675
2191838,59.927138889,30.358027778
2191837,59.93075,30.33525
2191817,59.965885,30.292961
2191808,59.942611111,30.378583333
2191806,59.935472222,30.331638889
2191804,59.936166667,30.359833333
2191803,59.92575,30.340944444
2191802,59.931861111,30.37525
2191799,59.947251,30.223109
2191798,59.924441,30.310243
2191795,59.967268,30.275131
2191794,59.898278,30.334472
2191793,59.963376,30.291462
2191791,59.95625,30.304167
2191790,59.965885,30.292961
2191785,59.969756,30.306572
2191784,59.924095,30.241091
2191779,59.961111,30.303333
2191777,59.948528,30.313583
2191776,59.945487,30.367879
2191775,59.913672,30.375704
2191765,59.910639,30.334306
2191764,59.966667,30.290167
2191762,59.9415,30.363028
2191757,59.940056,30.336889
2191755,59.971972,30.3105
2191753,59.936528,30.3145
2191752,59.914333,30.397917
2191751,59.957833,30.341889
2191681,59.90351,30.219658
2191676,59.927555556,30.346916667
2191675,59.926861111,30.353027778
2191674,59.920888889,30.344694444
2191669,59.968305556,30.298805556
2191668,59.909666667,30.280666667
2191667,59.925555556,30.322166667
2191666,59.928111111,30.312472222
2191665,59.928472222,30.300361111
2191635,59.918027778,30.328583333
2191634,59.926583333,30.314555556
2191633,59.923111111,30.282472222
2191632,59.962277778,30.295388889
2191631,59.960333333,30.300527778
2191630,59.928472222,30.31975
2191629,59.937,30.37775
2191617,59.927694444,30.374138889
2191612,59.892444444,30.264444444
2191611,59.898361111,30.253694444
2191610,59.90825,30.296916667
2191609,59.917277778,30.302555556
2191608,59.930805556,30.328805556
2191593,59.940022222,30.361502778
2191588,59.909833333,30.266444444
2191587,59.944472222,30.358638889
2191586,59.891611111,30.326833333
2191585,59.964861111,30.315027778
2191577,59.953138889,30.222555556
2191572,59.959666667,30.293388889
2191571,59.954305556,30.258277778
2191567,59.936833333,30.380527778
2191560,59.913611111,30.37575
2191558,59.902222222,30.355
2191555,59.931611111,30.350638889
2191554,59.956694444,30.367388889
2191553,59.949777778,30.351416667
2191521,59.9405,30.252944444
2191501,59.907833333,30.237083333
2191484,59.970277778,30.403694444
2191453,59.908583333,30.3395
2191446,59.931097222,30.402133333
2191435,59.972472222,30.370583333
2191417,59.965111111,30.329833333
2191412,59.904305556,30.317416667
2191208,59.972786,30.396116
2191201,59.935472222,30.204027778
2191197,59.933388889,30.328027778
2191196,59.932888889,30.381638889
2191195,59.944083333,30.345527778
2191192,59.944472222,30.388944444
2191186,59.929916667,30.361083333
2191184,59.942194444,30.341305556
2191183,59.917277778,30.391916667
2191182,59.9145,30.359
2191181,59.922972222,30.336083333
2191180,59.923,30.350555556
2191179,59.933527778,30.354138889
2191172,59.969638889,30.413861111
2191169,59.916611111,30.320666667
2191164,59.899027778,30.270611111
2191156,59.916555556,30.339
2191149,59.929194444,30.36775
2191148,59.946861111,30.342055556
2191144,59.938194444,30.266777778
2191139,59.929194444,30.36775
2191138,59.910333333,30.313333333
2191091,59.940166667,30.326166667
2191090,59.943194444,30.349055556
2191088,59.92475,30.357805556
2191086,59.908026,30.300978
2191083,59.941888889,30.209555556
2191082,59.91175,30.276277778
2191081,59.91325,30.308027778
2191080,59.932,30.355611111
2191079,59.936166667,30.341916667
2191078,59.942555556,30.361083333
2191072,59.932416667,30.32025
2191071,59.930805556,30.384472222
2191070,59.91875,30.324916667
2191054,59.925138889,30.349972222
2190092,59.96025,30.354472222
2190065,59.938694444,30.365916667
2190064,59.936638889,30.329861111
2190059,59.935416667,30.413388889
2190056,59.931361111,30.323583333
2190045,59.920305556,30.357611111
2190018,59.906666667,30.254027778
2116999,59.928472222,30.346583333
2116997,59.966222222,30.400611111
2116980,59.922555556,30.343361111
2116978,59.942333333,30.279
2116975,59.934583333,30.385416667
2116972,59.957888889,30.342138889
2116968,59.930444444,30.258472222
2116966,59.935861111,30.311555556
2116965,59.947944444,30.357805556
2116964,59.972472222,30.370583333
2116934,59.891111,30.387778
2116894,59.952833333,30.285833333
2116893,59.970333333,30.298416667
2116886,59.923272,30.335661
2116883,59.947666667,30.38925
2116870,59.936243,30.279282
2116862,59.9105771,30.313279
2116861,59.948111,30.340306
2116856,59.954016,30.367548
2116854,59.973199,30.293383
2116852,59.922189,30.328108
2116806,59.931277778,30.379472222
2116791,59.898722222,30.293277778
2116787,59.969333333,30.364611111
2116786,59.93325,30.315333333
2116783,59.929,30.388
2116780,59.966666667,30.353361111
2116779,59.912027778,30.292944444
2116778,59.923555556,30.349305556
2116772,59.943869,30.270159
2116678,59.90452,30.3713
2116663,59.917416667,30.355805556
2116661,59.944361111,30.361638889
2116658,59.896388889,30.304111111
2116656,59.911111111,30.354805556
2116649,59.974027778,30.2545
2116642,59.941,30.411
2116630,59.948333333,30.383777778
2116628,59.917777778,30.29575
2116580,59.892336,30.314616
2116578,59.899153,30.317252
2116574,59.94375,30.35425
2116570,59.912861111,30.28875
2116564,59.909222222,30.319833333
2116562,59.966444444,30.311444444
2116540,59.95275,30.306055556
2116537,59.946138889,30.348083333
2116530,59.937027778,30.355388889
2116523,59.97169,30.22735
2116521,59.972444,30.403389
2116515,59.925528,30.346778
2116514,59.96003,30.293021
2116513,59.93574,30.40798
2116501,59.958605,30.408387
2116500,59.911261,30.287797
2116488,59.933492,30.304477
2116473,59.934849,30.379433
2116472,59.955333,30.36775
2116471,59.94677,30.35983
2116466,59.965111,30.329833
2116457,59.905686,30.2641687
2116434,59.908722222,30.274055556
2116422,59.97,30.393833
2116421,59.924046,30.385692
2116420,59.934366,30.336889
2116413,59.927207,30.383385
2116404,59.922361111,30.283916667
2116398,59.911417,30.250083
2116382,59.931916667,30.350805556
2116379,59.937138889,30.359805556
2116352,59.904519,30.35525
2116349,59.96955,30.35154
2116339,59.938777778,30.376277778
2116333,59.953388889,30.21625
2116332,59.940305556,30.274611111
2116331,59.896138889,30.281222222
2116328,59.941638889,30.230388889
2116323,59.962361111,30.333
2116321,59.940055556,30.336888889
2116154,59.936639,30.311281
2116092,59.909694,30.411278
2116074,59.921033,30.343177
2116000,59.908528,30.292111
2115991,59.932685,30.344348
2115987,59.940493,30.315456
2115986,59.934934,30.308906
2115984,59.927058,30.320458
2115983,59.958651,30.354882
2115982,59.923482,30.383197
2115981,59.93056,30.35773
2115980,59.971037,30.347426
2115979,59.934934,30.308906
2115975,59.9205,30.299778
2115974,59.894944,30.400917
2115973,59.922732,30.366317
2115972,59.910861,30.31775
2115965,59.93376,30.33588
2115964,59.97063,30.339866
2115959,59.925,30.279083
2115956,59.966194,30.304028
2115955,59.919361,30.313306
2115952,59.908306,30.310417
2115924,59.948055556,30.345111111
2115911,59.942333333,30.343305556
2115910,59.92975,30.283194444
2115908,59.896277778,30.373638889
2115902,59.962192,30.392229
2115900,59.896194444,30.266555556
2115773,59.936555556,30.311777778
2115769,59.931722222,30.367583333
2115731,59.898361111,30.253694444
2115703,59.903222222,30.220361111
2115698,59.926972222,30.33375
2115696,59.955611111,30.354944444
2115689,59.924722,30.386389
2115686,59.91975,30.319917
2115682,59.918174,30.299285
2115511,59.921667,30.341833
2115477,59.906222222,30.377861111
2115466,59.935583333,30.325694444
2115464,59.92375,30.359972222
2115463,59.955611111,30.354944444
2115462,59.935416667,30.413388889
2115461,59.926194444,30.413694444
2115460,59.942361111,30.237805556
2115448,59.931583333,30.360527778
2115447,59.932944444,30.328138889
2115446,59.929861111,30.363944444
2115442,59.907805556,30.237055556
2115441,59.945305556,30.351666667
2115437,59.957777778,30.414305556
2115424,59.938083333,30.318416667
2115423,59.922055556,30.365444444
2115419,59.932916667,30.349166667
2115410,59.959042,30.268419
2115406,59.896012,30.357495
2115404,59.916543,30.318696
2115401,59.91625,30.339056
2115399,59.946222,30.347194
2115394,59.93724,30.35538
2115387,59.958665,30.408646
2115386,59.909056,30.319583
2115384,59.943827,30.270126
2115383,59.94159,30.343982
